,Review_title,Review_text,Ratings
23,Great product,"I am completely satisfied this laptop. Why many people written nagative comments this laptop. I don't know but performance, Display, Battery, and Build quality all these are outstanding.
Because I was already used two laptop Acer or HP. Compare this laptop too good. Build quality of Dell laptop very nice.
Please don't ""purchase extra warranty protection because totally confuse warranty.",5
24,Useless product,Worst laptop I have used till date,1
25,Slightly disappointed,Avarage,2
26,Excellent,"Nice laptop in this price , update its software for smooth use.",5
27,Best in the market!,Best,5
28,Utterly Disappointed,"Absolute pathetic product its extremely slow on starting the system...the charger gets heated up in just 10 mins
Flipkart after sales service is just useless....",1
29,Just okay,"I found it difficult to setup... it is very slow. I bought for my wife who is a doctor and she doesn't use high end applications. Yet the device is very slow.
I am very disappointed by the performance of the laptop. Well, let me see how it performs in the long run.",3
30,Excellent,"Got it around 37K in a sale, Coming to performance initial setup will take time as it is of HDD. With basic apps installed like chrome Adobe etc speed wise there is a lag... To overcome lag have to go for additional SSD upgrade.

Can add an additional SSD and RAM as well. Can blindly go for it if someone is looking for a budget one.",5
31,Wonderful,"Writing review after 2 months of use....

Display(7/10)
Battery(7/10)
Design (8.5/10)
Processing(6/10)
Touchpad(9/10)
Sound(7/10)

Additionally...sometimes it may take ""SOME"" time to boot.

Rest is fine!!",4
32,Hated it!,Waste of Money,1
33,Fair,"It's very slow.. takes a lot of time to process or to open anything.
Don't know why but not good for working professionals it's good for students..",3
34,Great product,"Nice product, overall very good",5
35,Fabulous!,"Good quality , performance, and best laptop in this price rate........",5
36,Don't waste your money,Camera and Battery very bad,1
37,Wonderful,Nice laptop worth for money,5
38,Very poor,Too slow. Not worth it,1
39,Useless product,Processing is so slow!!!!,1
40,Don't waste your money,"Keypad s rough.laptop heats very soon. Takes time to open pages, apps. Wont recommend thuis laptop.",1
41,Worst experience ever!,Poorest laptop don't purchase any laptop online.,1
42,Utterly Disappointed,This is the worst product I have ever bought in my life,1
43,Slightly disappointed,"Some times display show white color
And start very slow ..and this one is
Not original ... I think",2
44,Highly recommended,Good but speed is very slow,5
45,Don't go for it..,The system is very slow than expected and it is not worth the money.,2
46,Pretty good,"Nice Laptop dor students, for online classes...",4
47,Terrible product,Extremely slow and take lot of time to Open. Not worth Buying,1
48,Expected a better product,Very slow take a lot of time in starting,2
49,Moderate,Laptop is working very slow.,2
50,Highly recommended,Nice product,5
51,Worst experience ever!,Nothing to say..,1
52,Worth every penny,Working fine,5
53,Absolute rubbish!,It is too slow and the performance is not upto the mark the design and build quality has been completely looks as plastic and dummy laptop doesn't feel it as dell original laptop,1
54,Not recommended at all,Not up to the mark performance.,1
55,Very Good,Nice laptop. Overall good,4
56,Terrible product,Worst product,1
57,Brilliant,Good job,5
58,Perfect product!,Nice,5
59,Brilliant,Nice product,5
60,Fair,Just ok,3
61,Hated it!,"Very bad product, don't buy this. Poor quality.",1
62,Just wow!,best price,5
63,Good choice,"The laptop was delivered to me today. I bought @ 37550k (No offers given)
Look wise - It's an eye catcher (Keeping in mind the price point)
Battery Backup - Well the work I do is just browsing webpage and 3-4 background apps running like VPN etc (Fully for WFH Purpose).
It gives around 3-4 hrs backup easily
Speed- Is not that impressive. Startup takes long 5-6 mins
Performance - After start up is good the processor does the job.
Though an SSD of 120gb can solve the issue.
Other than that sou...
READ MORE",4
64,Really Nice,"Product delivered on time by Flipkart - very good.
Ms Office work only word, excel,ppt & one note.
Office Outlook & other options not working with pre install software.
Antivirus shows validity for one year.
Systems not smooth and fast with some programs.
Overall review is satisfied",4
65,Good choice,The processing is very slow other than this the laptop is very good. Slick design and light weight,4
66,Terrific purchase,I am so happy,5
67,Must buy!,Nice product,5
68,Good quality product,Good,4
69,Waste of money!,"Absolute pathetic product, it's extremely slow on starting the system,the product automatically switch off using time, flipkart after sales service is just useless...",1
70,Excellent,Aws product,5
71,Did not meet expectations,Very slow..,1
72,Moderate,"It's a slow machine, as simple as navigation on a web page on a chrome browser has issues, it's so difficult to enter details",2
73,Moderate,Very slowly it's running and taking time to start...I'm disappointed,2
74,Slightly disappointed,Slow functioning,2
75,Excellent,Very nice pretty,5
76,AWESOME PRODUCT,"Honestly reviewing the item
it is just mind blowing
overall satisfied with the product
all those who needs laptop for normal use ,just dont think just go for it.
thank you flipkart or the product.
i wanted laptop of smaller screen size and this laptop completely meets my requirement.",5
77,Brilliant,Good performance,5
78,Nice,"Product is good comes with i3 11 gen processor and ms office and genuine ms window, in this price you wont get this product outiside.

Cons
Some time hangs, in multi process it works slow, if you have limited usage of laptop than its okay, otherwise wont.",3
79,Worthless,Waste product,1
80,Excellent,"CD tray missing, but over all it's very nice product.",5
81,Super!,Good quality of produc,5
82,Simply awesome,Excellent laptop,5
83,Decent product,Performance is good but starting windows may slower.little bit of hanging happened to me.otherwise all are ok,3
84,Delightful,Genuion product,4
85,Highly recommended,Nice verry good bettery it ok this is not a game in lap top but this price range osam good,5
86,Good,Nice product,3
87,Fabulous!,Overall good performance.,5
88,Best in the market!,Good in this range.,5
89,Worth every penny,After ruturn new... Product excellent.,5
90,Brilliant,Very good product,5
91,Does the job,It's fine,3
92,Nice product,Very good,4
93,Value-for-money,Ok,4
94,Terrific purchase,Superb,5
95,Really Nice,Good but bit costly,4
96,Terrific,Vary vary vary vary vary vary good,5
97,Awesome,"Very Good Laptop for every day work, Upgrade it with SSD in local market then see the magic 😉",5
98,Best in the market!,"It's a super product, value for money",5
99,Highly recommended,"Very very nice laptop, I just loved it.",5
100,Nice product,"Slow running , good display and keybord , battery back up average overall average laptop",4
101,Nice product,satisfied with the product,4
102,Worth the money,Value for money its nice,4
103,Does the job,ok,3
104,Excellent,Best for Students,5
105,Very poor,New laptop does not work without charger even with 100% battery.,1
106,Delightful,Gud product👍👍,4
107,Terrible product,Webcam quality is very bad,1
108,Absolute rubbish!,"One of the worst lap
It will struck again and again
it takes more time to open windows and chrome,
it gets more heat",1
109,Terrific,Good,5
110,Great product,"I am completely satisfied this laptop. Why many people written nagative comments this laptop. I don't know but performance, Display, Battery, and Build quality all these are outstanding.
Because I was already used two laptop Acer or HP. Compare this laptop too good. Build quality of Dell laptop very nice.
Please don't ""purchase extra warranty protection because totally confuse warranty.",5
111,Useless product,Worst laptop I have used till date,1
112,Slightly disappointed,Avarage,2
113,Excellent,"Nice laptop in this price , update its software for smooth use.",5
114,Best in the market!,Best,5
115,Utterly Disappointed,"Absolute pathetic product its extremely slow on starting the system...the charger gets heated up in just 10 mins
Flipkart after sales service is just useless....",1
116,Just okay,"I found it difficult to setup... it is very slow. I bought for my wife who is a doctor and she doesn't use high end applications. Yet the device is very slow.
I am very disappointed by the performance of the laptop. Well, let me see how it performs in the long run.",3
117,Absolute rubbish!,"Worst.
Worst
Worst
Worst
Worst product
Very slow product waste of money waste of time please don't purchase this product ...if you go with this product u got disappointed definitely",1
118,Horrible,very very slow,1
119,Absolute rubbish!,"Very bad experience with laptop and Flipkart service as well.

Flipkart asked me to edit review comment since it is not conform to their guideline..and they don't want to post any negative review of their firm.

Thanks flipkart..now you can post this .

Pathetic performance..Don't go with only configuration..",1
120,Best in the market!,Excellent product 🖤,5
121,Just okay,It's a little slow when we login or switch on the system otherwise it is fast. Need to use it for few more days to get detailed review,3
122,Not good,Slow open,2
123,Useless product,"Battery lasts for 3-4 hours , while in the specification bettery life is upto 10 hours.",1
124,Fabulous!,"Honestly,while buying I was very confused because of the bad reviews about the battery and speed but I'm very satisfied atleast until now. It's been a month and I can say both battery and speed of my laptop are good. Camera is okay too and display is very nice. I'll recommend it !",5
125,Don't waste your money,Its a refurbished product... product is not good..... battery is overheating,1
126,Worst experience ever!,It's worst product I am suggesting to everyone didn't choose,1
127,Absolute rubbish!,"Worst.
Worst
Worst
Worst
Worst product
Very slow product waste of money waste of time please don't purchase this product ...if you go with this product u got disappointed definitely",1
128,Horrible,very very slow,1
129,Absolute rubbish!,"Very bad experience with laptop and Flipkart service as well.

Flipkart asked me to edit review comment since it is not conform to their guideline..and they don't want to post any negative review of their firm.

Thanks flipkart..now you can post this .

Pathetic performance..Don't go with only configuration..",1
130,Best in the market!,Excellent product 🖤,5
131,Just okay,It's a little slow when we login or switch on the system otherwise it is fast. Need to use it for few more days to get detailed review,3
132,Not good,Slow open,2
133,Useless product,"Battery lasts for 3-4 hours , while in the specification bettery life is upto 10 hours.",1
134,Fabulous!,"Honestly,while buying I was very confused because of the bad reviews about the battery and speed but I'm very satisfied atleast until now. It's been a month and I can say both battery and speed of my laptop are good. Camera is okay too and display is very nice. I'll recommend it !",5
135,Don't waste your money,Its a refurbished product... product is not good..... battery is overheating,1
136,Worst experience ever!,It's worst product I am suggesting to everyone didn't choose,1
137,Decent product,Laptop looks good. But battery will lost in two hours only. Speed is not convincing. Totally not good not bad.,3
138,Fair,after 5 monts i was chenge my rating from 5 star to 3 star bcz of its slow speed during first 15 min of starting....otherwise product was nice,3
139,Could be way better,Please dont buy this....extremely slow....u will feel u r using a pentium 2 pc......i have wasted 50500/- for this,2
140,Absolute rubbish!,"It is too much slow... I hated to watch at the screen and wait patiently to open a browser or a folder on it...
One should go for ssd instead of hdd.. the worst laptop..",1
141,Very poor,"Worst product, very slow",1
142,Waste of money!,"Worst experience with Flipkart. The laptop is too slow and lags alot, and I tried to return but Flipkart didn't return it instead they called technician who couldn't repair it.
Waste of money",1
143,Pretty good,Good,4
144,Fabulous!,"Overall performance is good. Speed , camera, battery and other features for this money in dell brand is awesome.",5
145,Waste of money!,"My humble request don't buy this product.
It's processor is slow.",1
146,Waste of money!,Overall its a bad choice to buy it,1
147,Don't waste your money,Very bad service,1
148,Unsatisfactory,Very slow process,1
149,Wonderful,Good to use,4
150,Don't waste your money,"Very slow product, as like a
286 or 386 system. I suggest do not purchase this laptop.",1
151,Nice,"Working is slow even though it has 8gb ram but still working slow battery backup is good display too
No CD/DCD pannel available . So buy accordingly",3
152,Very Good,Nice product,4
153,Moderate,Laptop is too slow and planning to change it,2
154,Just wow!,Nice desktop,5
155,Worst experience ever!,Nice,1
156,Perfect product!,Best laptop for Office use.,5
157,Brilliant,It's good for daily usage,5
158,Highly recommended,Good,5
159,Did not meet expectations,Very very worst please don't buy this item... Very show one... Please don't waste your money,1
160,Wonderful,Nice product,4
161,Not good,Performance is not up to the mark,2
162,Worthless,"What I received was a defective piece.
1- The Device automatically rebooted whenever it felt like and there was no seller return policy either
2- Agreed this has a HDD DRIVE but that doesn't mean the bootup process should take more than 7 mins even after updating the laptop.

Conclusion: one of the worse buying experience",1
163,Decent product,Laptop looks good. But battery will lost in two hours only. Speed is not convincing. Totally not good not bad.,3
164,Fair,after 5 monts i was chenge my rating from 5 star to 3 star bcz of its slow speed during first 15 min of starting....otherwise product was nice,3
165,Could be way better,Please dont buy this....extremely slow....u will feel u r using a pentium 2 pc......i have wasted 50500/- for this,2
166,Absolute rubbish!,"It is too much slow... I hated to watch at the screen and wait patiently to open a browser or a folder on it...
One should go for ssd instead of hdd.. the worst laptop..",1
167,Very poor,"Worst product, very slow",1
168,Waste of money!,"Worst experience with Flipkart. The laptop is too slow and lags alot, and I tried to return but Flipkart didn't return it instead they called technician who couldn't repair it.
Waste of money",1
169,Pretty good,Good,4
170,Fabulous!,"Overall performance is good. Speed , camera, battery and other features for this money in dell brand is awesome.",5
171,Waste of money!,"My humble request don't buy this product.
It's processor is slow.",1
172,Waste of money!,Overall its a bad choice to buy it,1
173,Brilliant,"Writing review after 15 day of use.It is absolutely incredible product . DIsplay,Built quality ,design everything looks awesome and I just love it.if your Budget allow around 40K it is simply best choice in Hp brand laptop.SSD allow smooth functioning of Laptop sp there is everything in this laptop which force you to but this one .",5
174,Delightful,This is thing I want to be...It s worked suprb fast due to ssd Value for money really worth it,4
175,Terrific,Great product... happy with the purchase,5
176,Nice product,Must buy product .Value for money,4
177,Fabulous!,Bought for basic usage like surfing web and watching videos and for that purpose it serves really good,5
178,Good quality product,Good product,4
179,Highly recommended,Best Performing Laptop In This Segment..... Go For It...,5
180,Awesome,Suitable for office work.,5
181,Perfect product!,Nice laptop 💻,5
182,Pretty good,Nice product,4
183,Brilliant,"Writing review after 15 day of use.It is absolutely incredible product . DIsplay,Built quality ,design everything looks awesome and I just love it.if your Budget allow around 40K it is simply best choice in Hp brand laptop.SSD allow smooth functioning of Laptop sp there is everything in this laptop which force you to but this one .",5
184,Delightful,This is thing I want to be...It s worked suprb fast due to ssd Value for money really worth it,4
185,Terrific,Great product... happy with the purchase,5
186,Nice product,Must buy product .Value for money,4
187,Fabulous!,Bought for basic usage like surfing web and watching videos and for that purpose it serves really good,5
188,Good quality product,Good product,4
189,Highly recommended,Best Performing Laptop In This Segment..... Go For It...,5
190,Awesome,Suitable for office work.,5
191,Perfect product!,Nice laptop 💻,5
192,Pretty good,Nice product,4
193,Classy product,Nice product,5
194,Worth every penny,Good product,5
195,Pretty good,"Product is good but price too high and ssd 256 gb is very low if ssd storage had be more then 512gb, it would have been a very good on this price range.",4
196,Delightful,Its Budget Friendly. And good .,4
197,Good quality product,Good,4
198,Wonderful,Amazing,4
199,Terrific,awesome performance and overall worth of money...go for it 😍,5
200,Perfect product!,Lovely,5
201,Brilliant,"Very good product.i am cse students so also referred other can bought this product ,🙂👍🏻",5
202,Great product,Superb with exchange,5
203,Awesome,"Superb laptop
Amazing",5
204,Awesome,I have selected this laptop based on the features described in the product details and reviews given by other customers....laptop is light weight ...look is awesome...and good for routine work and others.,5
205,Worth every penny,Amazing 😍,5
206,Good quality product,"Good in under 40K,
Battery back up ok
speed -ok
display resolution ok
one more is battery back need to improve more its not for 8 hrs too.",4
207,Fabulous!,So nice laptop... delivery on tym...,5
208,Good quality product,Nice product and very best prafomase 👍🏻👍🏻👍🏻,4
209,Just wow!,Very nice 🙂🙂 I'm happy,5
210,Decent product,Over all good laptop in this price.Very fast working.,3
211,Good choice,Go for it Guys..value for money 💰,4
212,Brilliant,Nyc products,5
213,Excellent,Liked it,5
214,Mind-blowing purchase,Very good laptop under this price and performance is so so better than i expected go for this without any hesitation,5
215,Highly recommended,Awesome ❤️,5
216,Delightful,Nice product,4
217,Terrific purchase,Good product,5
218,Terrific,best,5
219,Must buy!,It's really very amazing and helpful product...its so fast,5
220,Fabulous!,Superb performance .. loving it. 🥰,5
221,Worth every penny,"Preformancewise very good. Faster, Nice design",5
222,Great product,Superb and awesome laptop,5
223,Worth the money,Decent performance and value for money...,4
224,Worth the money,"Good experience...its better use for office, home and good gaming experience... Go for it",4
225,Good quality product,Good Laptop,4
226,Good choice,ADAPTER HEATS TOO MUCH.OVERALL PERFORMACE IS GOOD.,4
227,Just wow!,Good,5
228,Excellent,Nice product,5
229,Wonderful,"Best laptop
Best look
I impressed",5
230,Perfect product!,"Excellent Product
Very smooth performance",5
231,Best in the market!,Best laptop,5
232,Terrific purchase,"Product is super battery is huge & charges with in 1-1:30 hrs.
Best products B/W this range",5
233,Terrific,Best Laptop 👌🏻👌🏻👌🏻,5
234,Utterly Disappointed,Warranty is showing only for 9 months .,1
235,Super!,Mind blowing products I like is I perches to my friend and your family is also like this leptop thanks flipkart,5
236,Highly recommended,Top laptop under the price range. Provided windows 11 update. Display and camera could have been better.,5
237,Simply awesome,Very good for students.,5
238,Brilliant,Super,5
239,Super!,Very happy,5
240,Mind-blowing purchase,Budget yet power packed machine,5
241,Wonderful,Nice laptop,5
242,Terrific,Very nice product,5
243,Excellent,thanks,5
244,Terrific,Good,5
245,Worth every penny,Nice product 👌 👍 👏 😀,5
246,Worth every penny,Amazing Product,5
247,Best in the market!,Everything is good,5
248,Great product,Genuine Product ....,5
249,Terrific,amazing more than by expecetion,5
250,Terrific,Best products,5
251,Delightful,Finger print senser is must important but hp forgetting thi fracture,4
252,Good choice,Overall good,4
253,Just okay,Very slow,3
254,Really Nice,Product is good.,4
255,Excellent,Good for study,5
256,Delightful,Not bad,4
257,Highly recommended,value for money 💰💰,5
258,Mind-blowing purchase,Good reply and best speed delivery very good,5
259,Wonderful,Nice,5
260,Really Nice,Excellent performance,4
261,Wonderful,Money worth,4
262,Just wow!,Very nice 👌,5
263,Really Nice,Gud product,4
264,Nice,Performance is Good and little bit of Heating some times,3
265,Highly recommended,Good product,5
266,Simply awesome,Excellent product...valve for money,5
267,Fair,Fine but late delivery,3
268,Waste of money!,Speaker is bit problem and laptop is too bulky to carry,1
269,Did not meet expectations,It's very bad no proper response,1
270,Not recommended at all,"It's a laptop worth nothing as it has no, backlit LED, display is worst,

Also heating 🔥 sometimes, .......",1
271,Horrible,Very Bad,1
272,Good quality product,Price is quite high..if you get under 35 k then it's good.. display is good.. not outstanding.. battery backup also average..processer is average..built quality is quite impressive... sometimes it lagg..,4
273,Simply awesome,Excellent,5
274,Terrible product,"Worst laptop by hp..heats up alot even when using for normal task and don't buy from this seller ever nor his product
Flipkart is the worst place to buy any expensive products now
Horrible experience",1
275,Pretty good,Good laptop.. 🤞,4
276,Fair,Good 😊👍 processing but slowly working,3
277,Delightful,Good,4
278,Waste of money!,It is very bad....😒😒waste of money .....it has been not even one month that I have purchased it only 19 days now it's not working properly😢😢😢audio is not working,1
279,Just wow!,Very good product 👌,5
280,Just wow!,Good,5
281,Classy product,Nice product,5
282,Worth every penny,Good product,5
283,Pretty good,"Product is good but price too high and ssd 256 gb is very low if ssd storage had be more then 512gb, it would have been a very good on this price range.",4
284,Delightful,Its Budget Friendly. And good .,4
285,Good quality product,Good,4
286,Wonderful,Amazing,4
287,Terrific,awesome performance and overall worth of money...go for it 😍,5
288,Perfect product!,Lovely,5
289,Brilliant,"Very good product.i am cse students so also referred other can bought this product ,🙂👍🏻",5
290,Great product,Superb with exchange,5
291,Good,It's Nice This is first day .,3
292,Pretty good,Smooth performance,4
293,Power at a reasonable price,Looks promising. i3 11th Gen (1125G4) with 4 cores and 8 threads should be good enough power for day-to-day tasks.,5
294,Classy product,Worth for money. In this price range this is certainly a good choice.,5
295,Very poor,Worst,1
296,Best in the market!,Nice laptop in this price range.The display is average but processing Speed is good. Battery backup is only 3.t hrs approx,5
297,Worth the money,Overall nice product...,4
298,Highly recommended,Good,5
299,Nice,All good but battery backup not good enough,3
300,Wonderful,"I'll update this review again after a month usage...
As of now, it's a good laptop, but battery is not upto the mark...",5
301,Just wow!,"Incredible laptop
Performance very good 👍",5
302,Must buy!,Very comfortable,5
303,Horrible,Don't buy this laptop is tati Bhoot lag gta 5 Is not working 😡,1
304,Terrific,Happy with it,5
305,Good choice,Good product but it produce heat more frewuently,4
306,Mind-blowing purchase,It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇,5
307,Great product,Best laptop in this segment...I like this product....but just camera is avarage quality...not so impressive.. overall I think it is a very good product in this price.,5
308,Worth the money,"Best Laptop in this price from Asus
Very fast processor
Performance is good
Best for students, official work and Entertainment purposes.
But camera quality is not good.
Overall Nice Laptop.
Thankyou Asus and Flipkart.",4
309,Nice,"Honest Suggestion From a Student and Office Going Person.

Pros -
1. Its fast, No doubt.
2. Upgradability.
- Ram Can be upgraded upto 12GB from 4GB. Using empty Slot at 3200mhz.
- There is 256GB M.2 Nvme SSD in the Laptop. But you can upgrade that as well. Using Nvme or Pcie any SSD in that Slot.
Also there is 1 other empty HDD/SATA SSD Slot available for further Upgradability.
3. Lifetime of MS Office 2019 and Win 10/11. Just always remember Microsoft ID PS. Cause its linked to it only.
4....
READ MORE",3
310,Wonderful,"Firstly the price of this laptop is quite impressive and the functions.
SSD
In this range with this generation the processor is quite fast and in comparison with hdd SSD always gets an upper thumb as it makes your pc/notebook fast.
Battery
It is not as par with HP as they have 3 cell and in Asus they are 2 cell so here in the case of battery it lacks behind
Camera: Really not good at all it seems like VGA camera",5
311,Good choice,"Read this if you're going to buy any laptop
My advice is please not to look brand in buying laptops .
The laptops with same specs of brands hp,full,aver,lenovo,asus etc are same
To get to for minimum cost try asus
Dont feel asus is not as good as hp or dell
For this laptop
Pros-
●high speed boot up(faster than mac pro)
● intel i3 good performance if your use is home,student,and coding
●extra slot for ram.if you add 8 gb ram(you can get for just 2500 in flipkart and can add it yourself)
You ...
READ MORE",4
312,Super!,"Value for money at this price range.
Pros
1) FHD display
2) Option to add HDD
3) MS office pre installed.
4) Fast finger print scanner",5
313,Decent product,"I am happy with this product, special thanks to distributors",3
314,Perfect product!,Sprb laptop,5
315,Moderate,"Pros-

Good performance because of i3 11th gen
Nice design
Comes with windows 10 and office 2019
SSD is good
Speakers are decent

Cons-
Low ram only 4gb, you’ve to update if want to open 3 or more tabs
Very bad viewing angel of display
Little costly as per given specs’s
Battery back up is okay. About 3 hours, it should have 4-5 hours

This laptop is decent, but a very bad viewing angel of display though display is good full HD. But I felt headache because of bad view angle.",2
316,Mind-blowing purchase,It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇,5
317,Great product,Best laptop in this segment...I like this product....but just camera is avarage quality...not so impressive.. overall I think it is a very good product in this price.,5
318,Worth the money,"Best Laptop in this price from Asus
Very fast processor
Performance is good
Best for students, official work and Entertainment purposes.
But camera quality is not good.
Overall Nice Laptop.
Thankyou Asus and Flipkart.",4
319,Nice,"Honest Suggestion From a Student and Office Going Person.

Pros -
1. Its fast, No doubt.
2. Upgradability.
- Ram Can be upgraded upto 12GB from 4GB. Using empty Slot at 3200mhz.
- There is 256GB M.2 Nvme SSD in the Laptop. But you can upgrade that as well. Using Nvme or Pcie any SSD in that Slot.
Also there is 1 other empty HDD/SATA SSD Slot available for further Upgradability.
3. Lifetime of MS Office 2019 and Win 10/11. Just always remember Microsoft ID PS. Cause its linked to it only.
4....
READ MORE",3
320,Wonderful,"Firstly the price of this laptop is quite impressive and the functions.
SSD
In this range with this generation the processor is quite fast and in comparison with hdd SSD always gets an upper thumb as it makes your pc/notebook fast.
Battery
It is not as par with HP as they have 3 cell and in Asus they are 2 cell so here in the case of battery it lacks behind
Camera: Really not good at all it seems like VGA camera",5
321,Good choice,"Read this if you're going to buy any laptop
My advice is please not to look brand in buying laptops .
The laptops with same specs of brands hp,full,aver,lenovo,asus etc are same
To get to for minimum cost try asus
Dont feel asus is not as good as hp or dell
For this laptop
Pros-
●high speed boot up(faster than mac pro)
● intel i3 good performance if your use is home,student,and coding
●extra slot for ram.if you add 8 gb ram(you can get for just 2500 in flipkart and can add it yourself)
You ...
READ MORE",4
322,Super!,"Value for money at this price range.
Pros
1) FHD display
2) Option to add HDD
3) MS office pre installed.
4) Fast finger print scanner",5
323,Decent product,"I am happy with this product, special thanks to distributors",3
324,Perfect product!,Sprb laptop,5
325,Moderate,"Pros-

Good performance because of i3 11th gen
Nice design
Comes with windows 10 and office 2019
SSD is good
Speakers are decent

Cons-
Low ram only 4gb, you’ve to update if want to open 3 or more tabs
Very bad viewing angel of display
Little costly as per given specs’s
Battery back up is okay. About 3 hours, it should have 4-5 hours

This laptop is decent, but a very bad viewing angel of display though display is good full HD. But I felt headache because of bad view angle.",2
